slot	arc	load	sat	lb	source	proven	demands
9	283	1.2772919999999996	0.1419213333333333	1.2772919999999996	sink-dom	false	82
10	283	1.1791230000000001	0.1310136666666667	1.1791230000000001	sink-dom	false	80
9	46	1.0858580000000002	0.10858580000000002	1.0858580000000002	sink-dom	false	71
8	283	0.9341770000000001	0.10379744444444446	0.9341770000000001	sink-dom	false	81
7	33	0.102899	0.102899	0.102899	source-dom	false	76
7	283	0.8837720000000002	0.09819688888888892	0.8837720000000002	sink-dom	false	78
10	46	0.9753400000000003	0.09753400000000004	0.9753400000000003	sink-dom	false	71
8	33	0.09643	0.09643	0.09643	source-dom	false	80
4	33	0.09642800000000004	0.09642800000000004	0.09642800000000004	source-dom	false	79
10	247	0.9540109999999999	0.09540109999999999	0.9540109999999999	sink-dom	false	71
6	33	0.09485600000000002	0.09485600000000002	0.09485600000000002	source-dom	false	78
6	283	0.8305110000000002	0.09227900000000003	0.8305110000000002	sink-dom	false	81
9	33	0.09126100000000005	0.09126100000000005	0.09126100000000005	source-dom	false	77
10	33	0.09083900000000004	0.09083900000000004	0.09083900000000004	source-dom	false	78
8	46	0.8887050000000004	0.08887050000000005	0.8887050000000004	sink-dom	false	71
9	247	0.8324670000000003	0.08324670000000003	0.8324670000000003	sink-dom	false	71
5	33	0.07987800000000003	0.07987800000000003	0.07987800000000003	source-dom	false	81
9	47	0.7064629999999997	0.07849588888888887	0.7064629999999997	source-dom	false	72
7	46	0.7816710000000004	0.07816710000000004	0.7816710000000004	sink-dom	false	71
11	33	0.077713	0.077713	0.077713	source-dom	false	76
8	247	0.7504429999999999	0.07504429999999998	0.7504429999999999	sink-dom	false	71
11	283	0.6690759999999998	0.07434177777777776	0.6690759999999998	sink-dom	false	81
10	47	0.6680659999999998	0.07422955555555553	0.6680659999999998	source-dom	false	71
5	283	0.649921	0.07221344444444444	0.649921	sink-dom	false	78
11	247	0.711135	0.0711135	0.711135	sink-dom	false	70
3	33	0.06999999999999999	0.06999999999999999	0.06999999999999999	source-dom	false	78
9	32	0.06870300000000001	0.06870300000000001	0.06870300000000001	sink-dom	false	76
8	32	0.06753300000000004	0.06753300000000004	0.06753300000000004	sink-dom	false	76
7	32	0.06745100000000004	0.06745100000000004	0.06745100000000004	sink-dom	false	76
1	33	0.06705799999999999	0.06705799999999999	0.06705799999999999	source-dom	false	75
8	47	0.591561	0.065729	0.591561	source-dom	false	73
10	32	0.06532500000000002	0.06532500000000002	0.06532500000000002	sink-dom	false	75
6	32	0.06370800000000001	0.06370800000000001	0.06370800000000001	sink-dom	false	76
0	33	0.06295600000000001	0.06295600000000001	0.06295600000000001	source-dom	false	78
4	283	0.5612669999999998	0.06236299999999998	0.5612669999999998	sink-dom	false	80
0	32	0.06173599999999999	0.06173599999999999	0.06173599999999999	sink-dom	false	73
2	33	0.06171399999999999	0.06171399999999999	0.06171399999999999	source-dom	false	76
6	46	0.601924	0.0601924	0.601924	sink-dom	false	71
